Year,Period ID,Period,Area,Adjusted,Labor Force,Employment,Unemployment,Unemployment Rate
"2016","00","Annual","Travis County","Not Adj","678,367","657,085","21,282","3.1"
"2015","00","Annual","Travis County","Not Adj","653,628","632,174","21,454","3.3"
"2014","00","Annual","Travis County","Not Adj","643,420","617,152","26,268","4.1"
"2013","00","Annual","Travis County","Not Adj","630,677","599,088","31,589","5.0"
"2012","00","Annual","Travis County","Not Adj","612,264","578,608","33,656","5.5"
"2011","00","Annual","Travis County","Not Adj","594,040","556,184","37,856","6.4"
"2010","00","Annual","Travis County","Not Adj","575,630","536,660","38,970","6.8"
"2009","00","Annual","Travis County","Not Adj","547,413","510,814","36,599","6.7"
"2008","00","Annual","Travis County","Not Adj","536,895","514,368","22,527","4.2"
"2007","00","Annual","Travis County","Not Adj","528,962","510,019","18,943","3.6"
