GROSS RENT,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Renter-occupied units,"15,444","15,531","15,135","14,990","16,474","19,398","18,788","20,471","23,923","25,493",N
Less than $200,0,30,10,389,69,99,0,0,0,898,N
$200 to $299,281,290,25,298,0,370,85,129,687,"12,088",N
$300 to $499,"2,327","1,446",828,740,669,992,561,728,831,"7,416",N
$500 to $749,"6,274","5,444","6,043","4,959","4,659","3,871","4,138","2,630","4,340","4,100",N
$750 to $999,"3,328","3,911","4,368","4,574","5,686","6,297","7,274","7,924","7,190",882,N
"$1,000 to $1,499","1,874","3,238","2,715","3,181","4,460","5,248","4,969","6,948","7,235",109,N
"$1,500 or more",322,354,"1,146",849,931,"2,521","1,761","2,112","3,640",0,N

No rent paid,"1,038",818,506,773,536,495,843,517,629,536,N
Median (dollars),667,754,778,817,847,891,910,964,960,994,"1,074"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
