MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Housing units without a mortgage,"6,126","8,325","9,260","8,521","10,349","9,457","9,209","11,940","11,729","12,374","13,303"
Less than $100,0,0,44,0,208,0,37,85,0,,
$100 to $199,387,271,536,360,306,251,193,625,156,,
Less than $250,,,,,,,,,,863,794
$200 to $299,698,927,"1,111",975,"1,215",960,458,"1,225","1,235",,
$250 to $399,,,,,,,,,,"1,595","1,717"
$300 to $399,"1,233","1,005","1,262",947,"1,332","1,626","1,243","2,024","1,107",,
$400 or more,"3,808","6,122","6,307","6,239","7,288","6,620","7,278","7,981","9,231",,
$400 to $599,,,,,,,,,,"4,519","4,826"
$600 to $799,,,,,,,,,,"2,876","2,783"
$800 to $999,,,,,,,,,,"1,168","1,743"
"$1,000 or more",,,,,,,,,,"1,353","1,440"
Median (dollars),487,493,485,529,526,578,562,515,587,569,575
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
