HOUSING OCCUPANCY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total housing units,"46,987","49,386","51,266","53,176","59,747","61,833","64,338","67,307","70,729","72,977","75,486"
Occupied housing units,"42,550","44,803","47,008","48,709","54,422","56,754","57,395","60,739","63,497","67,346","71,267"
Vacant housing units,"4,437","4,583","4,258","4,467","5,325","5,079","6,943","6,568","7,232","5,631","4,219"
Homeowner vacancy rate,1.1,1.5,1.3,1,1,1.5,2.4,1.1,3,0.9,0.3
Rental vacancy rate,8.6,5.5,3,10,2,4.7,3.7,9.2,8,7,3.6
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
